,gain_type,depth,train_accuracy,test_accuracy
0,IG,1,0.8808,0.8752
1,IG,2,0.8808,0.8752
2,IG,3,0.8808,0.8752
3,IG,4,0.8826,0.8754
4,IG,5,0.883,0.8756
5,IG,6,0.908,0.885
6,IG,7,0.9338,0.8768
7,IG,8,0.9548,0.864
8,IG,9,0.9758,0.8574
9,IG,10,0.9838,0.8538
10,IG,11,0.9862,0.8528
11,IG,12,0.9868,0.8514
12,IG,13,0.9868,0.8514
13,IG,14,0.9868,0.8514
14,IG,15,0.9868,0.8514
15,IG,16,0.9868,0.8514
16,GI,1,0.8808,0.8752
17,GI,2,0.8808,0.8752
18,GI,3,0.8808,0.8752
19,GI,4,0.8922,0.884
20,GI,5,0.8962,0.887
21,GI,6,0.9096,0.887
22,GI,7,0.9338,0.8762
23,GI,8,0.9568,0.8666
24,GI,9,0.9756,0.86
25,GI,10,0.9836,0.8552
26,GI,11,0.9862,0.8546
27,GI,12,0.9868,0.8536
28,GI,13,0.9868,0.8536
29,GI,14,0.9868,0.8536
30,GI,15,0.9868,0.8536
31,GI,16,0.9868,0.8536
32,ME,1,0.8808,0.8752
33,ME,2,0.8808,0.8752
34,ME,3,0.8808,0.8752
35,ME,4,0.894,0.8886
36,ME,5,0.8988,0.8876
37,ME,6,0.9126,0.8896
38,ME,7,0.9374,0.8804
39,ME,8,0.9586,0.8712
40,ME,9,0.9746,0.865
41,ME,10,0.9808,0.863
42,ME,11,0.9832,0.8608
43,ME,12,0.985,0.8604
44,ME,13,0.9862,0.8598
45,ME,14,0.9868,0.8594
46,ME,15,0.9868,0.8594
47,ME,16,0.9868,0.8594
